HPA Setting,Thread Group,Avg Latency,P90 Latency,P99 Latency,Total Throughput
"HPA#1 (1-5 pods, 70%)",10,381.3333333333333,640.3333333333334,959.6666666666666,47.49334
"HPA#1 (1-5 pods, 70%)",20,1016.0,1776.3333333333333,2901.0,45.635220000000004
"HPA#1 (1-5 pods, 70%)",30,2036.3333333333333,3209.0,4592.0,39.34719
"HPA#2 (5-10 pods, 50%)",10,338.3333333333333,597.0,857.3333333333334,48.320460000000004
"HPA#2 (5-10 pods, 50%)",20,1122.3333333333333,1834.3333333333333,2811.6666666666665,38.030860000000004
"HPA#2 (5-10 pods, 50%)",30,2722.6666666666665,4185.666666666667,10975.333333333334,30.76672
