Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get /images/,2000,7832,5159,15005,22405,40282,32,61546,1.650%,10.46994,57.60,1.82
Post /images/upload/filter,2000,8803,5476,20461,24898,35892,68,58560,1.000%,9.60246,4.29,27.84
Post /images/upload/resize,2000,9180,5759,20841,25554,40701,71,70003,1.500%,9.61012,4.29,27.86
Post /images/upload/watermark,2000,9123,5605,20568,25180,40178,68,73343,1.200%,9.59868,4.29,27.83
TOTAL,8000,8734,5483,19680,24877,40178,32,73343,1.337%,38.39195,65.68,85.15
