Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Post /images/upload/resize,1000,6950,4626,16189,20628,27342,1,37739,7.200%,11.86211,7.10,31.91
Post /images/upload/filter,1000,7032,5061,15096,19430,29432,1,40263,9.600%,11.88453,7.40,31.15
Get /images/,1000,3325,3280,3925,4299,5149,26,5512,0.000%,28.06309,156.81,4.88
Post /images/upload/watermark,1000,7003,4910,14851,19682,27018,1,43728,8.200%,11.90207,7.38,31.68
TOTAL,4000,6078,3779,13679,18104,26354,1,43728,6.250%,47.44846,88.13,96.64
