Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get /images/,3000,1098,999,1918,2116,2868,8,4798,0.000%,20.15249,112.61,3.50
Post /images/upload/resize,3000,2027,1901,3197,3668,4604,48,5801,0.000%,13.11688,5.88,38.03
Post /images/upload/watermark,3000,2049,1906,3220,3746,4604,113,5801,0.000%,13.11693,5.88,38.03
Post /images/upload/filter,3000,2033,1895,3210,3750,4568,63,6011,0.000%,13.11338,5.88,38.02
TOTAL,12000,1802,1715,2976,3506,4499,8,6011,0.000%,52.45283,90.90,116.34
