Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Post /images/upload/watermark,1000,8196,8009,11594,14220,19302,65,22479,0.000%,11.79106,5.28,34.19
Post /images/upload/resize,1000,8111,8012,11499,12406,17603,66,22111,0.000%,11.78912,5.28,34.18
Get /images/,1000,5820,5367,9159,10638,12769,596,19289,0.000%,12.33974,68.95,2.14
Post /images/upload/filter,1000,8202,7902,11592,13296,19165,202,22463,0.000%,11.79746,5.29,34.21
TOTAL,4000,7582,7508,11225,12401,18110,65,22479,0.000%,47.15647,81.73,104.60
