Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get /images/,2000,7551,6801,12712,15628,20839,1395,26325,0.700%,10.86154,60.30,1.89
Post /images/upload/resize,2000,9313,8484,15169,17599,23583,105,29762,0.550%,10.42606,4.67,30.23
Post /images/upload/filter,2000,9387,8456,15641,19225,24962,65,28956,0.550%,10.42095,4.67,30.21
Post /images/upload/watermark,2000,9314,8324,15494,18843,23578,200,30007,0.500%,10.42682,4.67,30.23
TOTAL,8000,8891,7998,14691,17599,23578,65,30007,0.575%,41.67535,71.84,92.43
